Name,Market Share,Units Sold,Last Revision Date,Stock Out,Pfmn,Size,Position Difference,Price,Price Difference,MTBF,MTBF Difference,Age,Age Difference,Promo Budget,Customer Awareness,Sales Budget,Customer Accessibility,Segment,Round,Position Out of Range,Price Out of Range,MTBF Out of Range,Age Out of Range,CSS
Fast,0.17,840,11/21/2018,0,6.4,13.6,2.262741699796952,34.0,19.0,21000,0,3.1,0.10000000000000009,1000.0,0.55,1000.0,0.4,0,0,0,0,0,0,18.0
Able,0.17,360,11/21/2018,0,6.4,13.6,1.4142135623730951,34.0,9.0,21000,2000,3.1,3.1,1000.0,0.55,1000.0,0.41,1,0,0,0,0,1,16.0
Baker,0.17,360,11/21/2018,0,6.4,13.6,1.4142135623730951,34.0,9.0,21000,2000,3.1,3.1,1000.0,0.55,1000.0,0.41,1,0,0,0,0,1,16.0
Cake,0.17,360,11/21/2018,0,6.4,13.6,1.4142135623730951,34.0,9.0,21000,2000,3.1,3.1,1000.0,0.55,1000.0,0.41,1,0,0,0,0,1,16.0
Daze,0.17,360,11/21/2018,0,6.4,13.6,1.4142135623730951,34.0,9.0,21000,2000,3.1,3.1,1000.0,0.55,1000.0,0.41,1,0,0,0,0,1,16.0
Eat,0.17,360,11/21/2018,0,6.4,13.6,1.4142135623730951,34.0,9.0,21000,2000,3.1,3.1,1000.0,0.55,1000.0,0.41,1,0,0,0,0,1,16.0
Fast,0.17,360,11/21/2018,0,6.4,13.6,1.4142135623730951,34.0,9.0,21000,2000,3.1,3.1,1000.0,0.55,1000.0,0.41,1,0,0,0,0,1,16.0
Baker,0.19,1049,4/29/2022,1,6.4,14.2,1.2083045973594577,32.95,17.950000000000003,20000,0,2.39,0.6099999999999999,2000.0,0.82,3000.0,0.58,0,1,0,0,0,0,29.0
Cake,0.18,968,7/12/2022,0,5.8,14.2,0.7071067811865476,33.5,18.5,18000,2000,2.28,0.7200000000000002,2000.0,0.82,2500.0,0.55,0,1,0,0,0,0,22.0
Able,0.17,960,7/26/2022,0,5.8,14.2,0.7071067811865476,33.0,18.0,17000,3000,2.26,0.7400000000000002,2000.0,0.82,2500.0,0.55,0,1,0,0,0,0,21.0
Fast,0.17,935,8/5/2022,0,5.7,14.3,0.5656854249492372,34.5,19.5,18300,1700,2.25,0.75,1900.0,0.8,2300.0,0.53,0,1,0,0,0,0,22.0
Eat,0.16,911,11/9/2022,1,5.3,14.7,0.0,34.0,19.0,20000,0,2.12,0.8799999999999999,2500.0,0.86,2500.0,0.55,0,1,0,0,0,0,28.0
Daze,0.13,701,11/21/2018,0,6.4,13.6,1.5556349186104046,34.0,19.0,21000,0,4.1,1.0999999999999996,1000.0,0.58,1000.0,0.35,0,1,0,0,0,1,15.0
Baker,0.21,543,4/29/2022,1,6.4,14.2,2.860069929215017,32.95,7.950000000000003,20000,3000,2.39,2.39,2000.0,0.82,3000.0,0.59,1,1,0,0,0,1,15.0
Able,0.17,447,7/26/2022,0,5.8,14.2,3.2526911934581175,33.0,8.0,17000,6000,2.26,2.26,2000.0,0.82,2500.0,0.55,1,1,0,0,1,1,10.0
Cake,0.17,446,7/12/2022,0,5.8,14.2,3.2526911934581175,33.5,8.5,18000,5000,2.28,2.28,2000.0,0.82,2500.0,0.55,1,1,0,0,0,1,11.0
